source_id,title,youtube_id,youtube_url,last_timestamp,transcript_words,transcript_sha256
48,"She Turned $1,000 Into a $66M Empire at 76 Years Old!",nswPe9PAgjo,https://www.youtube.com/watch?v=nswPe9PAgjo,"00:17:33,292",4710,4bfa66029cd0b185ec92fe445c350bd53cf535727f4782f9a1c1a295d1924152
49,Asking Bugatti Owners How They Got RICH!,_sAyC_CLqzg,https://www.youtube.com/watch?v=_sAyC_CLqzg,"00:20:15,379",4980,1fa18da130de43a3502828a14d2209fadd3f11395e161d9a911f6a7177929c72
50,Asking Dubai Supercar Owners How They Got RICH!,gZ0RTpQZf8A,https://www.youtube.com/watch?v=gZ0RTpQZf8A,"00:16:06,620",3758,d3a300519e7bd9c7175a386b9a714e3268b91276e8ddb6cd7bcb0a94dabbdf9e
51,Asking Women Billionaires How They Got Rich!,5E-lydM23gU,https://www.youtube.com/watch?v=5E-lydM23gU,"00:14:55,780",3828,00eacb1c0c366b6d343ce23edc1bbf8c4870d1d1c8c31ced6dfa9aff086c1cc8
52,Asking Dubai Moguls How They Got Rich!,vUumRjZX0n8,https://www.youtube.com/watch?v=vUumRjZX0n8,"00:19:34,840",5000,32d1af5161028ddfe0bc8d0cab52a29fa4edd1ab495a241137a29785eeb2ab51
53,I Was on Food Stamps... Now I Make $100M⧸Year,QJP9OXmI5_4,https://www.youtube.com/watch?v=QJP9OXmI5_4,"00:14:09,500",3516,fc96233873104513b7abac3e3fa526d1d191cc18bb5062d9c65a00e6f99b695b
54,Asking Dubai Billionaires How They Got RICH!,Latp0XujNXk,https://www.youtube.com/watch?v=Latp0XujNXk,"00:16:25,380",4102,e5d796ece12bf05bc06e106f97f2eaf322811ee3dd20b3f5a06ac9f34df27f92
55,Meet The Kid Who Interviews Billionaires For a Living,bPPc2coTClU,https://www.youtube.com/watch?v=bPPc2coTClU,"00:23:46,920",5632,d1d3fb37a3498677a274cbcc6457cf809a05852ffb29a30db406769612c93406
56,He Made $7M⧸Year And Paid Zero Taxes!,22CjsRG0sTc,https://www.youtube.com/watch?v=22CjsRG0sTc,"00:18:10,080",4609,aaffef3839d32c0b58072bb3f8e44e2c88fd350120fe57aef593237d705230f6
57,Young Entrepreneur Interviews SHAQ,0I0EPRu3DJ0,https://www.youtube.com/watch?v=0I0EPRu3DJ0,"00:10:02,260",2562,e283237cdfeaf8af3fd9f82e9f9836b983e89e65c47a6f66d9326590c77c7318
58,Asking Billionaires How They Got Rich! (Beverly Hills),qQIKf7YQBbA,https://www.youtube.com/watch?v=qQIKf7YQBbA,"00:16:34,060",4168,e599f38e1f87695b8bfacd86727fd7ab8b9a52d8156572f1996474e5d5208faa
59,Young Entrepreneur Interviews Patrick Bet-David,ZX_BJKKyDXo,https://www.youtube.com/watch?v=ZX_BJKKyDXo,"00:14:06,413",3398,10a55b53c7185a34d187c5654ac1a6574b8444bd22abf10d10b75149c3d90a16
60,Asking Billionaires How They Got Rich! (New York),JKkwS6FT7wY,https://www.youtube.com/watch?v=JKkwS6FT7wY,"00:14:56,780",3316,10fae13f1293fc9e843a7bc00dd19511a1e84d6511e11d0c495b757913ea1749
61,Asking Millionaires Who They're Voting For President,JMIE80d0Aoo,https://www.youtube.com/watch?v=JMIE80d0Aoo,"00:15:17,340",3573,32abb9da349ed0d8dc11faa18e3f1c4d9c92cf132c66e805807bfb59211e0e85
62,Asking San Francisco Millionaires How They Got Rich!,G_GZbtj0uP8,https://www.youtube.com/watch?v=G_GZbtj0uP8,"00:13:32,750",3217,cd8a7059b16c5aa05bfc7fda8834462503381b4a76e289fe55f4b26d56b240d0
63,Asking Houston Moguls How They Got Rich!,HEgFl6N2u4M,https://www.youtube.com/watch?v=HEgFl6N2u4M,"00:10:39,854",2577,a3c6753984e5720f0d2698780880fc14a2eab8979dd753238bdbdbfb39f024ee
64,Asking Wealthy Americans How They Got Rich! (Florida),oDJEZ-n9TCM,https://www.youtube.com/watch?v=oDJEZ-n9TCM,"00:12:40,340",3335,8711169411c9918d91523fd298dee56c5324b3fea8d58ba1b74bf5ac86242a56
65,Asking Las Vegas Millionaires How They Got Rich!,D0utmFm1l0o,https://www.youtube.com/watch?v=D0utmFm1l0o,"00:12:54,211",3059,e6c0e261ed16d3069783b9ab0531bfc77ca5331657e0cad262985a218d7a525e
66,Asking Miami Moguls How They Got Rich!,PWVoNu4ytEA,https://www.youtube.com/watch?v=PWVoNu4ytEA,"00:19:25,100",4820,f98b1d46eedce1a6c8feff16c75282b5c55e74d2e7bc8694f9d634307ed190a8
67,Asking Billionaires How They Got Rich! (Houston),IUIG4YG0T-Q,https://www.youtube.com/watch?v=IUIG4YG0T-Q,"00:13:43,298",3382,1ea7af9acd6f6fda9efbc81cb61bb71283e088e1a8502b4aea64ef8f53e072e9
68,I Had to Beg Borrow & Steal.. Now I Make $300 Million,d4Yuq3iP5eI,https://www.youtube.com/watch?v=d4Yuq3iP5eI,"00:22:21,420",5352,c041c4dd5463e216433746fb91e8f6d8a934fbd3c4d1c0899b3ce8d083075b36
69,Asking Wealthy Americans How They Got Rich! (Scottsdale),O5R1z_gPCSo,https://www.youtube.com/watch?v=O5R1z_gPCSo,"00:14:48,020",3626,c23479e88d689b642bbaf6f8296bb6450390cd10ad1e2efca411a0e8e62aa4ab
70,I Asked Wall Street Millionaires How They Got RICH!,OtWKuR2hU68,https://www.youtube.com/watch?v=OtWKuR2hU68,"00:14:30,200",3732,bc912e8def396cab3ca15c9f0da4772db5d51bb3b0ceef44ef5b033e65364553
71,Asking Millionaires How They Got RICH! (Dallas),JsEUa3mMGe0,https://www.youtube.com/watch?v=JsEUa3mMGe0,"00:13:17,980",3577,4c572286a838e0b06115c37d1753907cdeebbfee3222b69b898b911fac012647
72,I Was Bankrupt… Now I’ve Made $3 Billion,9aBfrKtWJc8,https://www.youtube.com/watch?v=9aBfrKtWJc8,"01:04:10,080",15907,1287c301be6511ee36a42b0d48091c46bb093ef1b9f8518660159803c5abb9ad
73,Asking Billionaires How They Got RICH!,PN9Z4QH8X2w,https://www.youtube.com/watch?v=PN9Z4QH8X2w,"00:13:28,393",3586,9e4874dbbddaaaad827945c8398230122d82683043c98eca68c4b14360befb99
74,Young Entrepreneur Interviews Millionaire Justin Waller,6lmwLam3f4k,https://www.youtube.com/watch?v=6lmwLam3f4k,"00:09:18,540",2564,120f2fed7bedd87d489c00e9ced47959731bec8c7034393fe2a06072b4496720
75,Asking Salt Lake City Millionaires How They Got RICH!,90A-xjDipk4,https://www.youtube.com/watch?v=90A-xjDipk4,"00:11:56,120",2848,b682342145e4025d6c25cede87012ffc0b7920117c577298620f8fe6d9f4f317
76,Asking Scottsdale Millionaires How They Got Rich,sExOe8q1QBc,https://www.youtube.com/watch?v=sExOe8q1QBc,"00:17:47,967",4557,e544d5116f70e5f77fba4f7e4db24a03dae4b692ba9ae627ff40f5a2897e8d6f
77,Asking Supercar Owners How They Got RICH! (Florida),n7FLA5IZkWA,https://www.youtube.com/watch?v=n7FLA5IZkWA,"00:13:37,378",3409,24386a7e56842c0554915bc32723abe4c7d493868d76f97e026e04071a9109f4
78,Asking Millionaire Golfers How They Got RICH!,9FZ7chhIfUM,https://www.youtube.com/watch?v=9FZ7chhIfUM,"00:12:00,020",2933,0b839607201ac4014a279ffc1d74dbd1ddf1534d6bf5943ba4f17edc3fb792a5
79,Asking Atlanta Millionaires How They Got RICH!,2tRPK9s4p5k,https://www.youtube.com/watch?v=2tRPK9s4p5k,"00:13:07,579",3359,d7e790ffc8fffd2d2d31e584813bfae243f599822fcfb80a4272e0bf434b5b45
80,Asking Millionaires How They Got RICH! (New York City),PFvRtVvP-Bo,https://www.youtube.com/watch?v=PFvRtVvP-Bo,"00:11:59,339",3087,d37dfb2e5cb9310fd86d786227b83ec5693192ad6d5dc9d25b89d313e54e37bd
81,Asking Supercar Owners How They Got RICH! (Las Vegas),n3_QuKa208w,https://www.youtube.com/watch?v=n3_QuKa208w,"00:14:39,640",3893,93c832ce074e380f65bcb03ba31e17003fc1472101d420ef8906b01eee00ea82
82,I Asked Californian Millionaires How Much Money They LOST,6WweLDK6oiY,https://www.youtube.com/watch?v=6WweLDK6oiY,"00:12:40,660",3239,9cef480a67f40c0f8b90dbde4806816e818b41a1fe7e73a61c00fc120ea3be6b
83,I Asked Miami Millionaires How They Got Rich,ZFkKWGnm1PA,https://www.youtube.com/watch?v=ZFkKWGnm1PA,"00:17:10,139",4579,82954a5f25a33a14f86c1aa318f1aaa4e925509886fb87e588f4162b2e086265
84,Asking Luxury Shoppers How They Got RICH! (Dallas),ts5-LCzCUuE,https://www.youtube.com/watch?v=ts5-LCzCUuE,"00:13:04,680",3416,ce451209c9654cc8f2637567e520eedb6dff4b7e0095df1dc93ddad863b1e4ab
